pdb_id,karma_score,karma_score_ff,karma_score_aligned
Z381180216,24.583816528320312,22.29973602294922,24.13507652282715
Z935049818,25.82025146484375,24.86736488342285,24.51483154296875
Z644675090,29.23054313659668,23.848522186279297,20.32500457763672
Z290228874,27.14078140258789,25.884851455688477,24.74144172668457
Z235467022,34.497283935546875,33.99760055541992,34.78647232055664
Z392432232,32.9006233215332,27.288888931274414,26.136890411376953
Z29767749,23.676288604736328,24.657772064208984,20.609018325805664
Z287913464,29.877225875854492,29.636140823364258,27.209148406982422
Z228519880,44.31830596923828,41.511627197265625,40.901145935058594
Z193270258,33.54018020629883,28.785968780517578,31.30526351928711
Z165940634,28.589147567749023,24.117889404296875,16.796785354614258
Z410406690,25.93653106689453,25.05260467529297,25.871061325073242
Z85929771,31.528841018676758,29.54618263244629,28.52712059020996
Z373353716,44.25700759887695,41.057228088378906,32.022430419921875
Z839968520,30.66167640686035,31.16904640197754,22.749818801879883
Z289107408,39.6672248840332,37.7711181640625,34.29351043701172
Z56831640,33.35793685913086,31.12853240966797,29.117204666137695
Z62786680,32.52205276489258,29.427541732788086,29.3708438873291
Z1404550995,33.415287017822266,33.02043151855469,32.568260192871094
Z56775588,38.93117141723633,36.738319396972656,33.42892074584961
Z297739110,18.0679931640625,18.525514602661133,16.043720245361328
Z57110413,35.20746612548828,34.85183334350586,38.52480697631836
Z91879174,24.515836715698242,23.239696502685547,20.541030883789062
Z19585008,34.45863723754883,30.94455337524414,28.932209014892578
Z288515254,29.57560157775879,28.31450653076172,22.625213623046875
Z425236088,35.62086486816406,31.708669662475586,30.417020797729492
Z225596124,32.77073669433594,28.928382873535156,25.05158042907715
Z1002250664,30.05666732788086,27.894569396972656,22.49811363220215
Z282474144,33.626399993896484,31.020105361938477,29.452489852905273
Z29076463,36.9077262878418,37.019039154052734,30.53693962097168
Z134822038,33.00331497192383,30.246253967285156,23.179460525512695
Z18885559,35.313514709472656,33.36643981933594,30.307903289794922
Z62881302,34.30953598022461,33.810184478759766,31.234575271606445
Z112426882,29.377906799316406,26.790889739990234,25.763063430786133
Z94572736,31.31376075744629,30.530221939086914,29.121845245361328
Z19829052,29.476369857788086,29.788944244384766,27.5162353515625
Z286583760,25.993682861328125,24.821922302246094,20.999401092529297
Z19511505,33.99641418457031,33.3176155090332,30.980947494506836
Z131287106,40.908138275146484,38.0890007019043,34.05746078491211
Z166962724,43.851741790771484,39.27358627319336,42.0695915222168
Z384592984,31.52204132080078,29.25214385986328,27.36071014404297
Z287985592,33.81084060668945,29.718509674072266,32.288909912109375
Z1002490390,25.554244995117188,22.79835319519043,21.37276268005371
Z226430254,34.326629638671875,34.185543060302734,32.27546310424805
Z19198677,37.59046173095703,34.21918869018555,27.320476531982422
Z340480810,32.63193893432617,33.67926788330078,29.890398025512695
Z332936670,35.75835037231445,34.04636764526367,29.09009552001953
Z24593486,41.41938400268555,34.21400833129883,32.128997802734375
Z226390960,29.01453399658203,28.190731048583984,24.863908767700195
Z443973312,31.578590393066406,28.746566772460938,25.284238815307617
Z434191644,23.479177474975586,23.134929656982422,23.68340301513672
Z362690030,27.079208374023438,27.340923309326172,26.78897476196289
Z19512301,31.532052993774414,32.239662170410156,29.394113540649414
Z29249972,34.79348373413086,33.955997467041016,24.091472625732422
Z434823498,24.73802375793457,24.611644744873047,20.039365768432617
Z449311908,23.930973052978516,21.626224517822266,21.0188045501709
Z204342388,37.084964752197266,34.526405334472656,30.648029327392578
Z27726861,27.596458435058594,26.73503303527832,24.634279251098633
Z829113176,33.339576721191406,29.598276138305664,26.797155380249023
Z111781008,36.61693572998047,33.22999572753906,33.69149398803711
Z108748406,42.68470001220703,37.162723541259766,38.99421691894531
Z1132002096,29.387861251831055,26.347240447998047,28.601055145263672
